SUR_METHOD,SUR_FILE,SUR_INFO,ELEV_M,VEG_FS,X_UTM,Y_UTM,Quad_Name
AHF,AT041116.COR,AT01A22004 20041116Y,1.72,Sawgrass,555229.30,2889791.02,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.75,Sawgrass,554813.88,2889807.30,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.78,Sawgrass,554417.75,2889804.78,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.86,Sawgrass,554022.61,2889800.66,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.96,Cattail,553418.35,2889801.51,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,2.04,Cattail,553020.11,2889805.61,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,2.07,Cattail,552623.40,2889804.74,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.76,Cattail,552210.01,2889799.88,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.82,Cattail,551820.42,2889800.15,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.92,Sawgrass,551428.06,2889800.98,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.84,Cattail,551014.91,2889802.67,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,1.92,Cattail,550622.93,2889803.96,Andytown
AHF,AT041116.COR,AT01A22004 20041116Y,2.05,Cattail,550225.38,2889802.92,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,2.00,Sawgrass,555149.24,2890197.64,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.80,Sawgrass,554618.91,2890199.32,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.90,Sawgrass,554217.18,2890209.05,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.94,Cattail,553820.19,2890203.21,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.73,Cattail,553416.07,2890209.31,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.90,Cattail,553020.20,2890203.38,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.87,Cattail,552621.12,2890200.83,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.86,Cattail,552201.82,2890202.06,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.71,Sawgrass,551820.31,2890202.15,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.80,Cattail,551417.50,2890204.28,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.90,Cattail,551022.30,2890199.16,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.80,Cattail,550624.64,2890200.76,Andytown
AHF,AT041116.COR,AT03A22004 20041116Y,1.75,Cattail,550212.20,2890200.50,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,1.87,Sawgrass,555021.74,2890604.71,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,1.92,Sawgrass,554618.52,2890604.03,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,1.89,Sawgrass,554210.68,2890599.69,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,2.09,Cattail,553811.85,2890604.46,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,1.75,Sawgrass,553425.04,2890602.35,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,2.05,Cattail,553025.46,2890600.39,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,1.89,Sawgrass,552621.10,2890597.00,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,1.83,Cattail,552202.75,2890608.17,Andytown
AHF,AT041116.COR,AT05A22004 20041116Y,1.85,Cattail,551814.93,2890602.54,Andytown
